"session","created","modified","ended","expired","psid","ip_address","browser","respondentID","dynata_root","dynata_complete","dynata_screen","dynata_quota","inMarket","zip","income","inMarketscreenout","incomescreenout"
"ePd6iKj-1e8FkVpXyZky7VoPIBpkcltV-3lrcBYfoawsN0bJpVwrBUYemHvVWr_n","2021-11-05 01:12:56","2021-11-05 01:13:44","2021-11-05 01:13:44","","85syV5osN2Wiz-MMcFCmhQ**","68.54.229.189","Mozilla/5.0 (iPhone; CPU iPhone OS 14_6 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.1.1 Mobile/15E148 Safari/604.1","4102","https://dkr1.ssisurveys.com/projects/end?","https://dkr1.ssisurveys.com/projects/end?rst=1&psid=85syV5osN2Wiz-MMcFCmhQ**&basic=13813","https://dkr1.ssisurveys.com/projects/end?rst=2&psid=85syV5osN2Wiz-MMcFCmhQ**","https://dkr1.ssisurveys.com/projects/end?rst=3&psid=85syV5osN2Wiz-MMcFCmhQ**","not_in_market","42701","inc_35to50","1","0"
"dHlA4uRTkVRJJK12F1oT8ewssGBXzDuSUZYX3zEzBLR8Z7qWaqurWo5-pDwKD_PD","2021-11-05 01:13:30","2021-11-05 01:17:24","2021-11-05 01:17:24","","85syV5osN2VITgcVLOS0tw**","172.243.140.34","Mozilla/5.0 (Linux; Android 10; F_10XIPS) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/94.0.4606.85 Mobile Safari/537.36","1477","https://dkr1.ssisurveys.com/projects/end?","https://dkr1.ssisurveys.com/projects/end?rst=1&psid=85syV5osN2VITgcVLOS0tw**&basic=13813","https://dkr1.ssisurveys.com/projects/end?rst=2&psid=85syV5osN2VITgcVLOS0tw**","https://dkr1.ssisurveys.com/projects/end?rst=3&psid=85syV5osN2VITgcVLOS0tw**","not_in_market","27805","under25","1","0"
"H-Fl78ZVj2y2sPP9sNHp4s-hyZvcnno42MkAVB64q04ugtzcSquk8SaTMbHSFdzZ","2021-11-05 01:14:13","2021-11-05 01:16:19","2021-11-05 01:16:19","","85syV5osN2U81q8ZIcTb4Q**","99.137.62.142","Mozilla/5.0 (X11; CrOS x86_64 14150.74.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/94.0.4606.114 Safari/537.36","4357","https://dkr1.ssisurveys.com/projects/end?","https://dkr1.ssisurveys.com/projects/end?rst=1&psid=85syV5osN2U81q8ZIcTb4Q**&basic=13813","https://dkr1.ssisurveys.com/projects/end?rst=2&psid=85syV5osN2U81q8ZIcTb4Q**","https://dkr1.ssisurveys.com/projects/end?rst=3&psid=85syV5osN2U81q8ZIcTb4Q**","not_in_market","46016","under25","1","0"
"nQ1C_4DEVar6rOHFgAIz2nXeeAWbsj35pMnpJ9xEqjpAw737NQZYXhmfNFhNebAq","2021-11-05 01:14:23","2021-11-05 01:16:27","2021-11-05 01:16:27","","85syV5osN2VpXEji_gqSGw**","184.83.129.70","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/95.0.4638.69 Safari/537.36","1712","https://dkr1.ssisurveys.com/projects/end?","https://dkr1.ssisurveys.com/projects/end?rst=1&psid=85syV5osN2VpXEji_gqSGw**&basic=13813","https://dkr1.ssisurveys.com/projects/end?rst=2&psid=85syV5osN2VpXEji_gqSGw**","https://dkr1.ssisurveys.com/projects/end?rst=3&psid=85syV5osN2VpXEji_gqSGw**","no_timeline","57103","inc_25to35","0","0"
"ByHhNutj7yy8fBPYKzZmdZ4Mplz65LRbVkMOlB9FtXru2yoCGd-jcgNx50-yuRcn","2021-11-05 01:16:16","2021-11-05 01:16:40","2021-11-05 01:16:41","","85syV5osN2XApQaqkTXpaw**","208.114.93.72","Mozilla/5.0 (Linux; Android 10; V350C Build/QKQ1.200810.001; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/95.0.4638.74 Mobile Safari/537.36","4514","https://dkr1.ssisurveys.com/projects/end?","https://dkr1.ssisurveys.com/projects/end?rst=1&psid=85syV5osN2XApQaqkTXpaw**&basic=13813","https://dkr1.ssisurveys.com/projects/end?rst=2&psid=85syV5osN2XApQaqkTXpaw**","https://dkr1.ssisurveys.com/projects/end?rst=3&psid=85syV5osN2XApQaqkTXpaw**","0-3months","74501","under25","0","0"
"sC4OMTC5lcZz74-B_oHfjxgD0KOikFI7LMpdWDaiLJ2BExcvPzWBjrD5Rwzp3gal","2021-11-05 01:16:41","2021-11-05 01:17:19","2021-11-05 01:17:19","","85syV5osN2UOcQmbMLEc2w**","172.56.12.119","Mozilla/5.0 (iPhone; CPU iPhone OS 15_0_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148","888","https://dkr1.ssisurveys.com/projects/end?","https://dkr1.ssisurveys.com/projects/end?rst=1&psid=85syV5osN2UOcQmbMLEc2w**&basic=13813","https://dkr1.ssisurveys.com/projects/end?rst=2&psid=85syV5osN2UOcQmbMLEc2w**","https://dkr1.ssisurveys.com/projects/end?rst=3&psid=85syV5osN2UOcQmbMLEc2w**","1year","47842","inc_25to35","0","0"
"D1XDbf-lEdaRYC7hGFfLsqcYPZQbjyjhbP6wjlubQl9QxKi7kSx2HnrBCeah2-_h","2021-11-05 01:17:41","","","","85syV5osN2UbSlbeGdwN2A**","162.154.156.241","Mozilla/5.0 (Linux; Android 11; Pixel 4 XL Build/RQ3A.211001.001; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/95.0.4638.50 Mobile Safari/537.36","5829","https://dkr1.ssisurveys.com/projects/end?","https://dkr1.ssisurveys.com/projects/end?rst=1&psid=85syV5osN2UbSlbeGdwN2A**&basic=13813","https://dkr1.ssisurveys.com/projects/end?rst=2&psid=85syV5osN2UbSlbeGdwN2A**","https://dkr1.ssisurveys.com/projects/end?rst=3&psid=85syV5osN2UbSlbeGdwN2A**","","","","",""
"X4AnIDx5iwUCTQAKSro3AMqN_XAuVlyk1iOFnZyiyZ6DjbZc0K98SQEYPWybNm6p","2021-11-05 01:17:56","2021-11-05 01:18:31","2021-11-05 01:18:32","","85syV5osN2XBH8uUlsKo-A**","72.186.61.243","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/95.0.4638.69 Safari/537.36","4264","https://dkr1.ssisurveys.com/projects/end?","https://dkr1.ssisurveys.com/projects/end?rst=1&psid=85syV5osN2XBH8uUlsKo-A**&basic=13813","https://dkr1.ssisurveys.com/projects/end?rst=2&psid=85syV5osN2XBH8uUlsKo-A**","https://dkr1.ssisurveys.com/projects/end?rst=3&psid=85syV5osN2XBH8uUlsKo-A**","no_timeline","33801","inc_35to50","0","0"
"BgwEBMFP9MHiPU6u-ypbT0DHFQmfbs1zPtYIaPJB2b7BJNTjfFernrTan4Vkupoh","2021-11-05 01:18:28","2021-11-05 01:19:13","2021-11-05 01:19:13","","85syV5osN2U7Sh-jy1-I7g**","174.250.195.142","Mozilla/5.0 (Linux; Android 10; LM-Q620) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/94.0.4606.61 Mobile Safari/537.36","6986","https://dkr1.ssisurveys.com/projects/end?","https://dkr1.ssisurveys.com/projects/end?rst=1&psid=85syV5osN2U7Sh-jy1-I7g**&basic=13813","https://dkr1.ssisurveys.com/projects/end?rst=2&psid=85syV5osN2U7Sh-jy1-I7g**","https://dkr1.ssisurveys.com/projects/end?rst=3&psid=85syV5osN2U7Sh-jy1-I7g**","not_in_market","66104","prefer_not_say","1","1"
"Vs1pogjudK3oLPM40kljwMEYaa8TgGAFAHZ6RG5eoVff6OQz2nzqR7ri7r_1H_s_","2021-11-05 01:19:12","2021-11-05 01:19:55","2021-11-05 01:19:55","","85syV5osN2WhWioE_qk16Q**","73.251.56.156","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/15.1 Safari/605.1.15","3590","https://dkr1.ssisurveys.com/projects/end?","https://dkr1.ssisurveys.com/projects/end?rst=1&psid=85syV5osN2WhWioE_qk16Q**&basic=13813","https://dkr1.ssisurveys.com/projects/end?rst=2&psid=85syV5osN2WhWioE_qk16Q**","https://dkr1.ssisurveys.com/projects/end?rst=3&psid=85syV5osN2WhWioE_qk16Q**","no_timeline","23113","inc_35to50","0","0"
